角色突破ID	突破等级	语音文件	消耗金币	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	冒险等级要求
2	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	22	0	0
2	1		20000	104161	1	0	0	101202	3	112044	3	40	1	858.2550	7	52.3260	4	22.8282	22	0	15
2	2		40000	104162	3	113023	2	101202	10	112044	15	50	1	1468.0677	7	89.5050	4	39.0483	22	0.0960	25
2	3		60000	104162	6	113023	4	101202	20	112045	12	60	1	2281.1514	7	139.0770	4	60.6750	22	0.1920	30
2	4		80000	104163	3	113023	8	101202	30	112045	18	70	1	2890.9641	7	176.2560	4	76.8951	22	0.1920	35
2	5		100000	104163	6	113023	12	101202	45	112046	12	80	1	3500.7769	7	213.4350	4	93.1152	22	0.2880	40
2	6		120000	104164	6	113023	20	101202	60	112046	24	90	1	4110.5898	7	250.6140	4	109.3352	22	0.3840	50
3	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	26	0	0
3	1		20000	104151	1	0	0	100057	3	112005	3	40	1	980.8629	7	51.3000	4	15.9638	26	0	15
3	2		40000	104152	3	113001	2	100057	10	112005	15	50	1	1677.7917	7	87.7500	4	27.3065	26	0.0554	25
3	3		60000	104152	6	113001	4	100057	20	112006	12	60	1	2607.0303	7	136.3500	4	42.4301	26	0.1108	30
3	4		80000	104153	3	113001	8	100057	30	112006	18	70	1	3303.9590	7	172.8000	4	53.7728	26	0.1108	35
3	5		100000	104153	6	113001	12	100057	45	112007	12	80	1	4000.8879	7	209.2500	4	65.1155	26	0.1662	40
3	6		120000	104154	6	113001	20	100057	60	112007	24	90	1	4697.8169	7	245.7000	4	76.4582	26	0.2215	50
4	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	28	0	0
4	1		20000	104141	1	0	0	100022	3	112002	3	40	1	599.4160	7	35.9100	4	14.5011	28	0	15
4	2		40000	104142	3	113002	2	100022	10	112002	15	50	1	1025.3169	7	61.4250	4	24.8046	28	24.0000	25
4	3		60000	104142	6	113002	4	100022	20	112003	12	60	1	1593.1847	7	95.4450	4	38.5425	28	48.0000	30
4	4		80000	104143	3	113002	8	100022	30	112003	18	70	1	2019.0856	7	120.9600	4	48.8460	28	48.0000	35
4	5		100000	104143	6	113002	12	100022	45	112004	12	80	1	2444.9863	7	146.4750	4	59.1494	28	72.0000	40
4	6		120000	104144	6	113002	20	100022	60	112004	24	90	1	2870.8872	7	171.9900	4	69.4528	28	96.0000	50
12	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	6	0	0
12	1		20000	104101	1	0	0	100024	3	112005	3	40	1	681.1545	7	42.7500	4	13.3038	6	0	15
12	2		40000	104102	3	0	2	100024	10	112005	15	50	1	1165.1328	7	73.1250	4	22.7565	6	0.0600	25
12	3		60000	104102	6	0	4	100024	20	112006	12	60	1	1810.4371	7	113.6250	4	35.3601	6	0.1200	30
