ID	过期类型	过期时间参数1	过期时间参数2	过期时间参数3	返还道具列表	浮点舍入类型
200001	2	2032-11-28 03:59:59				
200002	2	2032-11-28 03:59:59				
200003	2	2032-11-28 03:59:59				
200101	2	2032-11-28 03:59:59				
200102	2	2032-11-28 03:59:59				
220013	2	2032-11-28 03:59:59				
107012	3	1	604800			
220022	2	2032-11-28 03:59:59				
220029	2	2032-11-28 03:59:59				
220030	2	2032-11-28 03:59:59				
220031	2	2032-11-28 03:59:59				
220037	2	2032-11-28 03:59:59				
111027	2	2032-11-28 03:59:59				
107015	2	2032-11-28 03:59:59				
220042	2	2032-11-28 03:59:59				
101582	2	2032-11-28 03:59:59				
101593	2	2032-11-28 03:59:59				
101594	2	2032-11-28 03:59:59				
101595	2	2032-11-28 03:59:59				
220046	2	2032-11-28 03:59:59				
130022	2	2032-11-28 03:59:59				
130023	2	2032-11-28 03:59:59				
130024	2	2032-11-28 03:59:59				
101692	2	2032-11-28 03:59:59				
101693	2	2032-11-28 03:59:59				
101700	2	2032-11-28 03:59:59				
101701	2	2032-11-28 03:59:59				
101702	2	2032-11-28 03:59:59				
220049	2	2032-11-28 03:59:59				
101709	2	2032-11-28 03:59:59				
101710	2	2032-11-28 03:59:59				
101714	2	2032-11-28 03:59:59				
101715	2	2032-11-28 03:59:59				
101719	2	2032-11-28 03:59:59				
101720	2	2032-11-28 03:59:59				
101737	2	2032-11-28 03:59:59				
101738	2	2032-11-28 03:59:59				
101739	2	2032-11-28 03:59:59				
101740	2	2032-11-28 03:59:59				
101741	2	2032-11-28 03:59:59				
101742	2	2032-11-28 03:59:59				
101743	2	2032-11-28 03:59:59				
101744	2	2032-11-28 03:59:59				
101745	2	2032-11-28 03:59:59				
101746	2	2032-11-28 03:59:59				
101747	2	2032-11-28 03:59:59				
101748	2	2032-11-28 03:59:59				
101749	2	2032-11-28 03:59:59				
101750	2	2032-11-28 03:59:59				
101751	2	2032-11-28 03:59:59				
101752	2	2032-11-28 03:59:59				
101753	2	2032-11-28 03:59:59				
220052	2	2022-07-11 03:59:59				
220061	2	2032-11-28 03:59:59				
101935	2	2032-11-28 03:59:59				
101936	2	2032-11-28 03:59:59				
101937	2	2032-11-28 03:59:59				
101945	2	2032-11-28 03:59:59				
101946	2	2032-11-28 03:59:59				
101854	2	2032-11-28 03:59:59				
101855	2	2032-11-28 03:59:59				
101856	2	2032-11-28 03:59:59				
101857	2	2032-11-28 03:59:59				
101858	2	2032-11-28 03:59:59				
101859	2	2032-11-28 03:59:59				
101801	2	2032-11-28 03:59:59				
101802	2	2032-11-28 03:59:59				
101803	2	2032-11-28 03:59:59				
101804	2	2032-11-28 03:59:59				
101805	2	2032-11-28 03:59:59				
101806	2	2032-11-28 03:59:59				
101807	2	2032-11-28 03:59:59				
101808	2	2032-11-28 03:59:59				
101834	2	2032-11-28 03:59:59				
101917	2	2032-11-28 03:59:59				
101908	2	2032-11-28 03:59:59				
101798	2	2032-11-28 03:59:59				
101799	2	2032-11-28 03:59:59				
101800	2	2032-11-28 03:59:59				
101770	2	2032-11-28 03:59:59				
101771	2	2032-11-28 03:59:59				
101772	2	2032-11-28 03:59:59				
101773	2	2032-11-28 03:59:59				
101760	2	2032-11-28 03:59:59				
101866	2	2032-11-28 03:59:59				
101997	2	2032-11-28 03:59:59				
101998	2	2032-11-28 03:59:59				
101910	2	2032-11-28 03:59:59				
220063	2	2032-11-28 03:59:59				
220064	2	2032-11-28 03:59:59				
120063	2	2032-11-28 03:59:59				
101835	2	2032-11-28 03:59:59				
101902	2	2032-11-28 03:59:59				
220073	2	2032-11-28 03:59:59				
120156	2	2032-11-28 03:59:59				
120159	2	2032-11-28 03:59:59				
120160	2	2032-11-28 03:59:59				
120161	2	2032-11-28 03:59:59				
